MapName,WinCntOfRed,WinCntOfBlue,DrawCnt,FirstMove
./autobattle/genmap0.tbsmap,1,0,0,6:3:6:3:6:4
./autobattle/genmap1.tbsmap,1,0,0,6:1:4:3:3:3
./autobattle/genmap10.tbsmap,0,1,0,5:6:3:3:2:3
./autobattle/genmap100.tbsmap,1,0,0,2:3:4:5:3:5
./autobattle/genmap101.tbsmap,1,0,0,5:3:5:2:6:2
./autobattle/genmap102.tbsmap,0,1,0,5:2:4:1:3:1
./autobattle/genmap103.tbsmap,0,1,0,5:3:5:2:4:2
./autobattle/genmap104.tbsmap,1,0,0,2:3:4:1:3:1
./autobattle/genmap105.tbsmap,1,0,0,3:3:4:1:3:1
./autobattle/genmap106.tbsmap,0,1,0,6:2:3:4:2:4
./autobattle/genmap107.tbsmap,0,1,0,6:4:5:4:4:4
./autobattle/genmap108.tbsmap,0,1,0,4:1:3:1:3:2
./autobattle/genmap109.tbsmap,1,0,0,1:6:2:2:2:3
./autobattle/genmap11.tbsmap,0,1,0,3:5:2:3:2:4
./autobattle/genmap110.tbsmap,1,0,0,5:3:2:2:3:2
./autobattle/genmap111.tbsmap,1,0,0,3:6:3:6:2:6
./autobattle/genmap112.tbsmap,1,0,0,6:6:4:4:4:5
./autobattle/genmap113.tbsmap,1,0,0,5:6:3:4:2:4
./autobattle/genmap114.tbsmap,1,0,0,1:2:2:1:3:1
./autobattle/genmap115.tbsmap,1,0,0,4:4:2:2:1:2
./autobattle/genmap116.tbsmap,1,0,0,1:2:5:4:5:5
./autobattle/genmap117.tbsmap,0,1,0,1:4:4:2:5:2
./autobattle/genmap118.tbsmap,1,0,0,3:3:3:2:3:1
./autobattle/genmap119.tbsmap,1,0,0,1:4:3:4:3:5
./autobattle/genmap12.tbsmap,1,0,0,2:5:3:4:3:3
./autobattle/genmap120.tbsmap,0,0,1,6:4:4:3:3:3
./autobattle/genmap121.tbsmap,1,0,0,3:2:2:2:2:3
./autobattle/genmap122.tbsmap,0,0,1,3:3:2:6:1:6
./autobattle/genmap123.tbsmap,1,0,0,4:2:6:4:6:5
./autobattle/genmap124.tbsmap,1,0,0,3:6:5:4:6:4
./autobattle/genmap125.tbsmap,1,0,0,1:1:1:4:1:5
./autobattle/genmap126.tbsmap,0,0,1,4:2:4:2:3:2
./autobattle/genmap127.tbsmap,0,0,1,6:3:5:3:4:3
./autobattle/genmap128.tbsmap,0,0,1,3:6:3:5:2:5
./autobattle/genmap129.tbsmap,0,1,0,2:3:3:4:2:4
./autobattle/genmap13.tbsmap,1,0,0,5:2:5:2:5:1
./autobattle/genmap130.tbsmap,0,0,1,3:4:2:3:2:2
./autobattle/genmap131.tbsmap,1,0,0,2:5:2:3:1:3
./autobattle/genmap132.tbsmap,0,1,0,2:6:4:3:4:2
./autobattle/genmap133.tbsmap,0,1,0,4:2:5:2:5:3
./autobattle/genmap134.tbsmap,1,0,0,6:1:4:1:3:1
./autobattle/genmap135.tbsmap,1,0,0,1:6:5:4:6:4
./autobattle/genmap136.tbsmap,0,0,1,2:1:3:4:2:4
./autobattle/genmap137.tbsmap,1,0,0,3:5:3:5:4:5
./autobattle/genmap138.tbsmap,0,1,0,3:4:3:4:2:4
./autobattle/genmap139.tbsmap,1,0,0,6:4:5:5:4:5
./autobattle/genmap14.tbsmap,0,0,1,6:5:6:2:5:2
./autobattle/genmap140.tbsmap,1,0,0,5:4:5:5:5:6
./autobattle/genmap141.tbsmap,1,0,0,2:6:5:5:6:5
./autobattle/genmap142.tbsmap,1,0,0,3:5:5:2:4:2
./autobattle/genmap143.tbsmap,1,0,0,2:5:2:6:1:6
./autobattle/genmap144.tbsmap,0,0,1,4:4:4:4:4:3
./autobattle/genmap145.tbsmap,1,0,0,6:1:5:4:5:5
./autobattle/genmap146.tbsmap,0,0,1,4:4:2:1:1:1
./autobattle/genmap147.tbsmap,0,1,0,2:3:3:2:2:2
./autobattle/genmap148.tbsmap,0,0,1,2:6:2:5:1:5
./autobattle/genmap149.tbsmap,0,0,1,5:6:4:6:3:6
./autobattle/genmap15.tbsmap,0,0,1,5:4:5:1:4:1
./autobattle/genmap150.tbsmap,1,0,0,6:5:6:1:5:1
./autobattle/genmap151.tbsmap,0,0,1,5:4:4:2:4:1
./autobattle/genmap152.tbsmap,1,0,0,3:3:6:5:6:6
./autobattle/genmap153.tbsmap,1,0,0,4:2:6:3:6:4
./autobattle/genmap154.tbsmap,0,1,0,5:6:4:4:5:4
./autobattle/genmap155.tbsmap,1,0,0,4:5:6:2:5:2
./autobattle/genmap156.tbsmap,1,0,0,4:3:3:5:4:5
./autobattle/genmap157.tbsmap,0,1,0,5:5:5:3:4:3
./autobattle/genmap158.tbsmap,1,0,0,6:1:6:1:5:1
./autobattle/genmap159.tbsmap,1,0,0,3:6:4:3:4:2
./autobattle/genmap16.tbsmap,0,1,0,3:1:3:2:2:2
./autobattle/genmap160.tbsmap,1,0,0,6:2:2:5:2:6
./autobattle/genmap161.tbsmap,0,1,0,6:3:5:5:6:5
./autobattle/genmap162.tbsmap,1,0,0,5:5:6:1:5:1
./autobattle/genmap163.tbsmap,0,1,0,2:6:6:4:6:5
./autobattle/genmap164.tbsmap,1,0,0,4:1:6:3:6:4
./autobattle/genmap165.tbsmap,1,0,0,5:6:4:3:3:3
./autobattle/genmap166.tbsmap,1,0,0,5:6:6:5:5:5
./autobattle/genmap167.tbsmap,1,0,0,5:3:6:5:6:6
./autobattle/genmap168.tbsmap,1,0,0,4:5:6:4:5:4
./autobattle/genmap169.tbsmap,0,1,0,1:6:3:3:4:3
./autobattle/genmap17.tbsmap,0,1,0,3:6:3:3:3:2
./autobattle/genmap170.tbsmap,0,1,0,3:3:5:3:6:3
./autobattle/genmap171.tbsmap,1,0,0,5:4:5:5:4:5
./autobattle/genmap172.tbsmap,1,0,0,5:1:6:2:5:2
./autobattle/genmap173.tbsmap,1,0,0,1:1:4:2:4:3
./autobattle/genmap174.tbsmap,1,0,0,1:6:2:3:3:3
./autobattle/genmap175.tbsmap,1,0,0,5:1:3:4:2:4
./autobattle/genmap176.tbsmap,1,0,0,6:3:3:1:4:1
./autobattle/genmap177.tbsmap,1,0,0,3:3:4:4:5:4
./autobattle/genmap178.tbsmap,0,0,1,2:2:3:4:2:4
./autobattle/genmap179.tbsmap,0,1,0,4:6:1:3:2:3
./autobattle/genmap18.tbsmap,0,1,0,1:5:3:5:3:4
./autobattle/genmap180.tbsmap,1,0,0,1:2:3:6:4:6
./autobattle/genmap181.tbsmap,1,0,0,4:1:6:1:6:2
./autobattle/genmap182.tbsmap,1,0,0,6:4:5:2:6:2
./autobattle/genmap183.tbsmap,1,0,0,5:1:6:5:6:6
./autobattle/genmap184.tbsmap,0,0,1,2:5:2:3:3:3
./autobattle/genmap185.tbsmap,0,0,1,5:1:4:2:3:2
./autobattle/genmap186.tbsmap,0,1,0,4:2:3:2:2:2
./autobattle/genmap187.tbsmap,0,0,1,3:4:2:1:1:1
./autobattle/genmap188.tbsmap,1,0,0,1:6:4:5:4:4
./autobattle/genmap189.tbsmap,0,1,0,3:3:2:6:1:6
./autobattle/genmap19.tbsmap,1,0,0,6:3:2:3:2:2
./autobattle/genmap190.tbsmap,1,0,0,2:6:2:2:2:1
./autobattle/genmap191.tbsmap,1,0,0,3:5:3:5:3:4
./autobattle/genmap192.tbsmap,1,0,0,1:1:3:5:3:4
./autobattle/genmap193.tbsmap,1,0,0,4:3:5:5:4:5
./autobattle/genmap194.tbsmap,0,1,0,2:4:4:2:4:3
./autobattle/genmap195.tbsmap,0,1,0,5:6:5:6:4:6
./autobattle/genmap196.tbsmap,1,0,0,4:1:4:3:3:3
./autobattle/genmap197.tbsmap,0,0,1,4:5:4:6:3:6
./autobattle/genmap198.tbsmap,1,0,0,6:2:5:1:6:1
./autobattle/genmap199.tbsmap,0,1,0,4:2:6:2:6:3
./autobattle/genmap2.tbsmap,1,0,0,1:5:4:4:4:3
./autobattle/genmap20.tbsmap,1,0,0,5:6:1:2:2:2
./autobattle/genmap200.tbsmap,0,0,1,2:6:3:5:2:5
./autobattle/genmap201.tbsmap,1,0,0,1:2:2:4:1:4
./autobattle/genmap202.tbsmap,1,0,0,2:3:3:5:3:4
./autobattle/genmap203.tbsmap,1,0,0,5:4:4:3:3:3
./autobattle/genmap204.tbsmap,1,0,0,3:1:6:1:6:2
./autobattle/genmap205.tbsmap,0,0,1,5:6:1:1:2:1
./autobattle/genmap206.tbsmap,1,0,0,4:5:4:4:5:4
./autobattle/genmap207.tbsmap,1,0,0,3:6:5:5:5:6
./autobattle/genmap208.tbsmap,1,0,0,1:4:3:6:2:6
./autobattle/genmap209.tbsmap,0,0,1,5:1:5:3:5:4
