MapName,WinCntOfRed,WinCntOfBlue,DrawCnt,FirstMove
./autobattle/genmap5.tbsmap,0,1,0,2:4:4:4:3:4
./autobattle/genmap28.tbsmap,1,0,0,2:2:3:1:4:1
./autobattle/genmap16.tbsmap,0,1,0,1:3:4:5:3:5
./autobattle/genmap17.tbsmap,1,0,0,3:3:5:2:6:2
./autobattle/genmap29.tbsmap,0,1,0,2:1:5:1:5:2
./autobattle/genmap25.tbsmap,0,0,1,3:4:4:2:3:2
./autobattle/genmap7.tbsmap,1,0,0,1:2:4:2:4:2
./autobattle/genmap8.tbsmap,1,0,0,2:3:5:2:4:2
./autobattle/genmap12.tbsmap,0,0,1,3:3:6:3:5:3
./autobattle/genmap22.tbsmap,1,0,0,6:1:2:2:1:2
./autobattle/genmap18.tbsmap,0,0,1,5:6:3:3:2:3
./autobattle/genmap9.tbsmap,0,0,1,5:2:3:5:2:5
./autobattle/genmap4.tbsmap,0,1,0,5:3:1:1:1:1
./autobattle/genmap27.tbsmap,0,1,0,2:5:5:3:5:4
./autobattle/genmap13.tbsmap,1,0,0,3:6:4:3:3:3
./autobattle/genmap15.tbsmap,1,0,0,5:1:5:2:6:2
./autobattle/genmap0.tbsmap,1,0,0,1:5:2:4:1:4
./autobattle/genmap2.tbsmap,1,0,0,4:2:3:1:2:1
./autobattle/genmap3.tbsmap,1,0,0,2:3:5:2:6:2
./autobattle/genmap21.tbsmap,0,1,0,6:5:4:1:3:1
./autobattle/genmap19.tbsmap,1,0,0,3:4:6:2:6:3
./autobattle/genmap30.tbsmap,1,0,0,3:5:5:2:5:1
./autobattle/genmap1.tbsmap,0,1,0,3:3:5:4:4:4
./autobattle/genmap24.tbsmap,1,0,0,2:6:5:4:6:4
./autobattle/genmap6.tbsmap,1,0,0,1:5:5:3:6:3
./autobattle/genmap10.tbsmap,0,0,1,1:6:4:3:5:3
./autobattle/genmap14.tbsmap,0,0,1,4:1:4:4:4:5
./autobattle/genmap11.tbsmap,1,0,0,1:3:4:3:3:3
./autobattle/genmap20.tbsmap,0,1,0,3:3:5:3:4:3
./autobattle/genmap26.tbsmap,0,1,0,2:1:4:2:3:2
./autobattle/genmap23.tbsmap,1,0,0,6:6:6:3:6:4
./autobattle/genmap31.tbsmap,0,1,0,3:1:6:3:6:4
