lr: 0.013239049537511212, acc: 0.12
lr: 0.04534237138351294, acc: 0.452
lr: 3.2373338377268666e-05, acc: 0.07
lr: 3.329552790175616e-05, acc: 0.111
lr: 0.011892573138606033, acc: 0.165
lr: 0.011794883231023703, acc: 0.457
lr: 0.007179541935437587, acc: 0.21
lr: 0.03967613141274011, acc: 0.496
lr: 0.01815035986804491, acc: 0.198
lr: 5.559330364891208e-05, acc: 0.065
lr: 0.00027207113616315614, acc: 0.21
lr: 1.8086162397232332e-05, acc: 0.208
lr: 0.00012980447351520046, acc: 0.1
lr: 0.0007692920525942782, acc: 0.112
lr: 7.27846858874886e-05, acc: 0.17
lr: 1.2864356492542388e-05, acc: 0.161
lr: 0.00175310697637695, acc: 0.081
lr: 0.00032184956780325957, acc: 0.139
lr: 5.186516641593072e-05, acc: 0.16
lr: 0.0019399223703640217, acc: 0.148
lr: 1.0287840187087533e-05, acc: 0.165
lr: 0.0021917118572575118, acc: 0.091
lr: 0.00015819130653697307, acc: 0.053
lr: 0.00011951482548932579, acc: 0.07
lr: 0.00031581508781163903, acc: 0.235
lr: 3.299376851091345e-05, acc: 0.113
lr: 0.00014979248936638999, acc: 0.147
lr: 2.5295984157300357e-05, acc: 0.132
lr: 0.0007225625433109091, acc: 0.202
lr: 6.855376893533708e-05, acc: 0.151
lr: 5.196136379528285e-05, acc: 0.025
lr: 6.0790607475131734e-05, acc: 0.067
lr: 0.000201458087799845, acc: 0.132
lr: 6.0025179443604245e-05, acc: 0.178
lr: 0.00010266648395455695, acc: 0.157
lr: 4.658423925600894e-05, acc: 0.07
lr: 2.007263625888755e-05, acc: 0.064
lr: 1.764605745606028e-05, acc: 0.148
lr: 2.3991776365288397e-05, acc: 0.161
lr: 0.0005066323733947001, acc: 0.199
lr: 4.2301238040065124e-05, acc: 0.067
lr: 9.531161189656969e-05, acc: 0.191
lr: 1.634159047520146e-05, acc: 0.038
lr: 1.635188551166164e-05, acc: 0.091
lr: 2.8512650047125558e-05, acc: 0.181
lr: 1.0467022207039547e-05, acc: 0.102
lr: 0.09426110153934485, acc: 0.515
lr: 2.105809267771995e-05, acc: 0.125
lr: 3.893720090090346e-05, acc: 0.156
lr: 0.00018323508889932783, acc: 0.168
lr: 8.407489071188092e-05, acc: 0.18
lr: 5.399981325237599e-05, acc: 0.198
lr: 1.670903308257692e-05, acc: 0.083
lr: 2.9718701715278216e-05, acc: 0.179
lr: 1.318340612333618e-05, acc: 0.082
lr: 6.953376348726436e-05, acc: 0.21
lr: 0.0048512669121569645, acc: 0.085
lr: 3.589878243680932e-05, acc: 0.185
lr: 0.00020128964600409327, acc: 0.14
lr: 0.0004454262919148012, acc: 0.172
lr: 0.00012719700682212865, acc: 0.115
lr: 4.526264396992355e-05, acc: 0.104
lr: 3.993023653595612e-05, acc: 0.12
lr: 2.297601216573905e-05, acc: 0.105
lr: 8.134286949866252e-05, acc: 0.073
lr: 1.306201346329962e-05, acc: 0.094
lr: 5.984288314842237e-05, acc: 0.175
lr: 3.03390238250336e-05, acc: 0.096
lr: 0.0002540151955594103, acc: 0.189
lr: 4.5380707960693056e-05, acc: 0.109
lr: 0.0001042232623293064, acc: 0.055
lr: 0.00014871406737956464, acc: 0.176
lr: 0.00010246383502823636, acc: 0.061
lr: 0.00010203667014620671, acc: 0.106
lr: 0.001341103729683285, acc: 0.086
lr: 0.00010923828766531873, acc: 0.11
lr: 0.00015785939033638428, acc: 0.075
lr: 0.0002568893065456815, acc: 0.072
lr: 6.668903555815956e-05, acc: 0.078
lr: 0.0004150051706705455, acc: 0.068
lr: 2.372921998354515e-05, acc: 0.143
lr: 5.522175728286203e-05, acc: 0.113
lr: 1.8500058840328927e-05, acc: 0.191
lr: 3.350782930124412e-05, acc: 0.219
lr: 8.046825140790574e-05, acc: 0.117
lr: 4.9438453083588846e-05, acc: 0.17
lr: 8.806577613745696e-05, acc: 0.1
lr: 1.362994255052813e-05, acc: 0.065
lr: 1.0031009668999892e-05, acc: 0.145
lr: 1.4282387310800178e-05, acc: 0.1
lr: 2.5492550151392686e-05, acc: 0.213
lr: 1.9373333249569967e-05, acc: 0.177
lr: 3.981119007685814e-05, acc: 0.027
lr: 1.5014843143770258e-05, acc: 0.097
lr: 0.021823236061757015, acc: 0.135
lr: 0.0030710047851205927, acc: 0.188
lr: 3.8259323939007726e-05, acc: 0.124
lr: 2.9570920824273714e-05, acc: 0.049
lr: 2.8871695102468886e-05, acc: 0.162
lr: 1.1548805533272717e-05, acc: 0.115
Best trial:
  Value: 0.025
  Params: 
    lr: 5.196136379528285e-05
