WinTeam,Resing,EndTurn,AttackCntBlue_0_5,AttackCntRed_0_5,attackCntBlue_6_11,attackCntRed_6_11,AllUnitHP_Blue,AllUnitHP_Red,F_UnitHP_Blue,A_UnitHP_Blue,P_UnitHP_Blue,U_UnitHP_Blue,R_UnitHP_Blue,I_UnitHP_Blue,F_UnitHP_Red,A_UnitHP_Red,P_UnitHP_Red,U_UnitHP_Red,R_UnitHP_Red,I_UnitHP_Red
0,False,29,5,9,1,2,8,25,8,0,0,0,0,0,0,0,8,7,0,10
1,False,29,9,5,2,1,25,8,0,0,8,7,0,10,8,0,0,0,0,0
-1,False,29,10,9,1,2,13,17,13,0,0,0,0,0,0,0,8,3,0,6
-1,False,29,9,10,2,1,17,13,0,0,8,3,0,6,13,0,0,0,0,0
1,False,16,7,11,3,4,5,0,0,0,5,0,0,0,0,0,0,0,0,0
0,False,16,11,7,4,3,0,5,0,0,0,0,0,0,0,0,5,0,0,0
-1,False,29,9,9,1,1,17,18,0,0,9,0,0,8,18,0,0,0,0,0
-1,False,29,9,9,1,1,18,17,18,0,0,0,0,0,0,0,9,0,0,8
0,False,5,6,12,0,0,0,30,0,0,0,0,0,0,14,4,7,0,0,5
1,False,5,12,6,0,0,30,0,14,4,7,0,0,5,0,0,0,0,0,0
-1,False,29,10,9,3,2,9,15,0,0,0,9,0,0,13,0,0,0,0,2
-1,False,29,9,10,2,3,15,9,13,0,0,0,0,2,0,0,0,9,0,0
0,False,9,6,9,1,2,0,15,0,0,0,0,0,0,10,5,0,0,0,0
1,False,9,9,6,2,1,15,0,10,5,0,0,0,0,0,0,0,0,0,0
1,False,8,10,10,1,0,30,0,14,0,12,4,0,0,0,0,0,0,0,0
0,False,8,10,10,0,1,0,30,0,0,0,0,0,0,14,0,12,4,0,0
0,False,29,5,8,0,0,11,28,11,0,0,0,0,0,0,0,15,0,0,13
1,False,29,8,5,0,0,28,11,0,0,15,0,0,13,11,0,0,0,0,0
0,False,29,8,9,3,1,14,27,0,0,0,3,0,11,27,0,0,0,0,0
1,False,29,10,7,1,2,27,13,27,0,0,0,0,0,0,0,0,3,0,10
